property_id,location,property_type,area_sqft,road_width_ft,distance_from_city_center_km,property_age_years,price_inr
GKP0415,Rustampur,House,3904,10,18.8,24,10380000
GKP0416,Transport Nagar,Residential Plot,3305,25,4.2,0,8760000
GKP0417,Golghar,Residential Plot,3693,30,18.8,0,18150000
GKP0418,Mohaddipur,Residential Plot,2843,60,16.4,0,12360000
GKP0419,Transport Nagar,Residential Plot,2259,12,10.7,0,5480000
GKP0420,Gida,Residential Plot,3830,60,8.9,0,9970000
GKP0421,Chargawan,Residential Plot,3195,25,20.5,0,4890000
GKP0422,Medical College Road,Agricultural Land,21709,20,2.9,0,24450000
GKP0423,Rapti Nagar,Residential Plot,1964,10,11.0,0,5700000
GKP0424,Rapti Nagar,Residential Plot,1854,10,11.9,0,5450000
GKP0425,Chargawan,House,3343,15,3.4,29,7120000
GKP0426,Betiahata,House,1633,15,15.4,4,7170000
GKP0427,Rapti Nagar,Residential Plot,2601,12,10.3,0,7010000
GKP0428,Golghar,Residential Plot,2896,18,13.9,0,13290000
GKP0429,Taramandal,House,3207,18,6.2,3,13990000
GKP0430,Taramandal,Residential Plot,3965,40,8.9,0,14240000
GKP0431,Rustampur,Residential Plot,3212,25,8.2,0,8270000
GKP0432,Gida,Residential Plot,1027,40,20.8,0,1730000
GKP0433,Transport Nagar,Commercial Property,3127,15,17.5,23,9780000
GKP0434,Khorabar,Agricultural Land,28088,30,10.3,0,23300000
GKP0435,Taramandal,Residential Plot,4093,18,21.7,0,9800000
GKP0436,Medical College Road,Commercial Property,2427,15,11.1,13,11130000
GKP0437,Khorabar,Residential Plot,2689,12,20.9,0,4440000
GKP0438,Taramandal,House,851,20,20.5,2,3380000
GKP0439,Sahjanwa,Agricultural Land,29297,15,11.6,0,16460000
GKP0440,Rapti Nagar,Residential Plot,2572,18,9.2,0,7370000
GKP0441,Chargawan,Agricultural Land,9122,12,7.3,0,5210000
GKP0442,Sahjanwa,Residential Plot,2324,30,4.8,0,3910000
GKP0443,Mohaddipur,Residential Plot,2829,18,8.3,0,10810000
GKP0444,Sahjanwa,Residential Plot,2653,10,13.0,0,3320000
GKP0445,Chargawan,Agricultural Land,14588,18,1.8,0,10060000
GKP0446,Golghar,Residential Plot,1145,30,3.7,0,6950000
GKP0447,Padri Bazar,Agricultural Land,9110,25,15.9,0,7550000
GKP0448,Mohaddipur,Residential Plot,4969,20,11.9,0,17910000
GKP0449,Rapti Nagar,Residential Plot,2577,25,1.3,0,9110000
GKP0450,Betiahata,Residential Plot,1764,60,6.0,0,8640000
GKP0451,Medical College Road,Residential Plot,2150,15,5.1,0,5610000
GKP0452,Sahjanwa,Residential Plot,2295,18,2.9,0,3050000
GKP0453,Khorabar,Residential Plot,1882,30,21.8,0,4030000
GKP0454,Taramandal,House,2364,15,17.3,28,7800000
GKP0455,Padri Bazar,Agricultural Land,25796,12,17.1,0,19980000
GKP0456,Sahjanwa,Residential Plot,899,60,3.0,0,2000000
GKP0457,Sahjanwa,Residential Plot,3989,15,1.7,0,6280000
GKP0458,Betiahata,Commercial Property,4074,20,3.1,15,24770000
GKP0459,Chargawan,Residential Plot,4348,10,10.4,0,6770000
GKP0460,Transport Nagar,House,1996,40,6.7,1,8560000
GKP0461,Naushad,Residential Plot,2474,30,9.8,0,4090000
GKP0462,Gida,House,864,30,12.9,4,2270000
GKP0463,Kunraghat,Commercial Property,4836,30,17.5,6,22190000
GKP0464,Transport Nagar,Commercial Property,1080,60,4.6,3,6420000
GKP0465,Gida,House,1744,12,3.4,8,4440000
GKP0466,Naushad,Commercial Property,1523,18,18.1,1,3630000
GKP0467,Golghar,House,1673,10,3.5,8,12680000
GKP0468,Betiahata,Agricultural Land,9986,12,7.8,0,14530000
GKP0469,Kunraghat,House,3070,12,3.2,14,10780000
GKP0470,Padri Bazar,Agricultural Land,15294,15,20.4,0,9640000
GKP0471,Gida,Residential Plot,3172,60,20.9,0,6520000
GKP0472,Khorabar,House,1872,18,5.0,22,5060000
GKP0473,Chargawan,Commercial Property,1490,10,1.8,15,4340000
GKP0474,Medical College Road,House,1819,10,20.9,13,5840000
GKP0475,Sahjanwa,Residential Plot,4456,40,8.7,0,7530000
GKP0476,Khorabar,Residential Plot,4277,10,8.7,0,7860000
GKP0477,Betiahata,Residential Plot,2298,30,14.2,0,8880000
GKP0478,Rustampur,Residential Plot,3648,20,17.2,0,8260000
GKP0479,Khorabar,Agricultural Land,18863,15,20.1,0,13520000
GKP0480,Gida,Residential Plot,3728,18,15.7,0,7080000
GKP0481,Chargawan,Residential Plot,2617,18,3.7,0,4960000
GKP0482,Golghar,House,967,40,14.2,22,6560000
GKP0483,Naushad,Commercial Property,3077,20,1.8,21,8140000
GKP0484,Naushad,Residential Plot,1285,40,14.6,0,2270000
GKP0485,Taramandal,Residential Plot,1427,30,5.3,0,4420000
GKP0486,Mohaddipur,Agricultural Land,22206,30,5.2,0,32700000
GKP0487,Rapti Nagar,Commercial Property,4869,25,7.5,15,22360000
GKP0488,Mohaddipur,Commercial Property,485,10,1.1,16,3030000
GKP0489,Transport Nagar,Commercial Property,4760,20,11.2,5,18400000
GKP0490,Medical College Road,House,1771,18,13.6,17,6210000
GKP0491,Betiahata,Residential Plot,4979,18,4.8,0,18910000
GKP0492,Kunraghat,Residential Plot,1808,12,17.0,0,3900000
GKP0493,Betiahata,Residential Plot,4645,60,9.5,0,21000000
GKP0494,Medical College Road,Residential Plot,2348,60,5.4,0,7940000
GKP0495,Medical College Road,House,2593,25,8.9,25,9110000
GKP0496,Khorabar,House,1157,30,19.2,2,3180000
GKP0497,Golghar,Residential Plot,3098,15,2.5,0,16650000
GKP0498,Rapti Nagar,Residential Plot,635,30,2.4,0,2270000
GKP0499,Mohaddipur,Residential Plot,4277,15,2.2,0,17320000
GKP0500,Taramandal,Residential Plot,2669,20,10.0,0,8750000
GKP0501,Naushad,House,2313,60,4.2,27,6340000
GKP0502,Transport Nagar,House,870,40,15.0,3,3260000
GKP0503,Padri Bazar,Residential Plot,1758,10,12.0,0,3460000
GKP0504,Kunraghat,Residential Plot,3664,15,6.3,0,8420000
GKP0505,Taramandal,Agricultural Land,7048,12,3.8,0,8700000
GKP0506,Betiahata,Commercial Property,759,18,1.2,6,4700000
GKP0507,Rapti Nagar,Commercial Property,1133,15,16.7,25,3800000
GKP0508,Taramandal,House,1833,40,1.2,23,8440000
GKP0509,Kunraghat,Agricultural Land,29221,15,5.0,0,24240000
GKP0510,Kunraghat,House,2532,40,16.8,6,9930000
GKP0511,Kunraghat,Residential Plot,4146,20,7.2,0,9740000
GKP0512,Golghar,Agricultural Land,17564,30,21.5,0,31540000
GKP0513,Rapti Nagar,House,2474,10,6.0,10,9490000
GKP0514,Rapti Nagar,Agricultural Land,4819,30,5.2,0,6270000
GKP0515,Medical College Road,Residential Plot,1274,60,16.2,0,3790000
GKP0516,Taramandal,House,2983,30,18.4,8,13020000
GKP0517,Naushad,Residential Plot,3179,60,21.1,0,6240000
GKP0518,Mohaddipur,House,2062,30,22.0,13,8630000
GKP0519,Padri Bazar,Residential Plot,3641,20,11.1,0,7720000
GKP0520,Taramandal,Residential Plot,815,40,13.3,0,2900000
GKP0521,Golghar,Commercial Property,1189,15,14.1,16,8690000
GKP0522,Padri Bazar,House,3267,10,12.1,3,10010000
GKP0523,Khorabar,House,1792,18,5.7,2,5540000
GKP0524,Golghar,Commercial Property,2086,60,8.1,15,21570000
GKP0525,Golghar,Commercial Property,468,18,8.7,18,3190000
GKP0526,Gida,Residential Plot,2253,12,8.8,0,4400000
GKP0527,Kunraghat,Residential Plot,2823,60,8.1,0,9660000
GKP0528,Medical College Road,Residential Plot,4280,30,17.9,0,10430000
GKP0529,Naushad,Agricultural Land,19434,12,2.1,0,13600000
GKP0530,Sahjanwa,Agricultural Land,20517,20,12.6,0,10180000
GKP0531,Padri Bazar,House,3405,10,15.3,6,10060000
GKP0532,Gida,Residential Plot,4249,40,20.7,0,8930000
GKP0533,Taramandal,House,3276,40,9.8,19,12950000
GKP0534,Sahjanwa,Residential Plot,3689,15,18.6,0,4310000
GKP0535,Taramandal,House,1448,12,4.4,30,5000000
GKP0536,Chargawan,House,1915,60,4.2,9,6700000
GKP0537,Taramandal,Commercial Property,4542,25,14.0,6,24680000
GKP0538,Gida,Residential Plot,3638,10,13.3,0,6590000
GKP0539,Transport Nagar,Residential Plot,2051,10,11.7,0,4470000
GKP0540,Taramandal,Residential Plot,2523,40,12.1,0,8490000
GKP0541,Rustampur,Agricultural Land,14996,12,7.7,0,13220000
GKP0542,Golghar,House,2493,25,21.0,3,15640000
GKP0543,Golghar,Residential Plot,3648,15,10.7,0,15390000
GKP0544,Rustampur,House,2730,12,11.8,21,7950000
GKP0545,Padri Bazar,Residential Plot,2697,10,3.1,0,6000000
GKP0546,Medical College Road,Residential Plot,4981,25,16.8,0,14060000
GKP0547,Golghar,House,1223,15,19.0,19,6030000
GKP0548,Mohaddipur,Agricultural Land,13282,10,18.6,0,14670000
GKP0549,Mohaddipur,Residential Plot,1456,25,8.0,0,5140000
GKP0550,Sahjanwa,House,987,40,19.8,12,2030000
GKP0551,Padri Bazar,Residential Plot,4201,15,20.2,0,6980000
GKP0552,Kunraghat,Agricultural Land,13985,25,9.6,0,13780000
GKP0553,Transport Nagar,House,3029,20,4.0,23,8900000
GKP0554,Taramandal,Residential Plot,4061,25,8.4,0,14310000
GKP0555,Naushad,House,3404,30,6.7,9,8240000
GKP0556,Khorabar,Commercial Property,1228,40,19.9,14,4540000
GKP0557,Naushad,Residential Plot,4823,25,13.0,0,7790000
GKP0558,Naushad,House,1840,10,6.1,10,3570000
GKP0559,Khorabar,House,3450,20,11.9,27,7620000
GKP0560,Betiahata,House,2730,15,5.2,6,15200000
GKP0561,Chargawan,Commercial Property,4963,15,7.1,14,14700000
GKP0562,Chargawan,Commercial Property,4636,10,18.8,20,11990000
GKP0563,Betiahata,House,1472,18,10.5,25,7060000
GKP0564,Padri Bazar,Residential Plot,2400,25,3.2,0,5190000
GKP0565,Khorabar,Residential Plot,4299,60,6.2,0,11650000
GKP0566,Kunraghat,Commercial Property,2137,25,13.1,23,7530000
GKP0567,Medical College Road,House,2571,15,10.9,13,8710000
GKP0568,Kunraghat,House,1101,40,16.7,14,3540000
GKP0569,Chargawan,Commercial Property,3039,15,13.2,22,6880000
GKP0570,Rapti Nagar,Commercial Property,1992,30,6.4,6,10910000
GKP0571,Mohaddipur,Agricultural Land,13493,18,19.4,0,18820000
GKP0572,Gida,Residential Plot,4450,40,1.7,0,9750000
GKP0573,Chargawan,Agricultural Land,25991,30,12.2,0,17480000
GKP0574,Mohaddipur,Commercial Property,4118,20,19.7,0,23080000
GKP0575,Kunraghat,House,1262,60,6.2,24,4490000
GKP0576,Chargawan,Commercial Property,955,15,11.6,24,2540000
GKP0577,Sahjanwa,House,740,20,18.0,16,1210000
GKP0578,Mohaddipur,Residential Plot,2405,15,17.5,0,7170000
GKP0579,Padri Bazar,Residential Plot,2878,60,1.1,0,8120000
GKP0580,Rapti Nagar,Residential Plot,3042,20,10.7,0,8020000
GKP0581,Khorabar,House,1548,10,3.0,21,4140000
GKP0582,Golghar,Residential Plot,1537,30,8.6,0,8900000
GKP0583,Rapti Nagar,Residential Plot,1507,30,1.7,0,4670000
GKP0584,Gida,Commercial Property,2803,10,19.5,21,7210000
GKP0585,Medical College Road,Commercial Property,2691,20,12.0,18,11320000
GKP0586,Mohaddipur,Agricultural Land,19557,10,7.6,0,23800000
GKP0587,Golghar,House,3818,30,18.7,2,30160000
GKP0588,Khorabar,Commercial Property,1060,40,2.0,5,4820000
GKP0589,Betiahata,House,1870,20,6.5,17,8430000
GKP0590,Gida,Residential Plot,1114,10,8.4,0,1840000
GKP0591,Betiahata,House,1488,30,20.6,21,6530000
GKP0592,Golghar,Commercial Property,3635,20,21.8,1,31390000
GKP0593,Padri Bazar,House,2442,40,15.3,19,7410000
GKP0594,Kunraghat,Agricultural Land,3259,20,2.3,0,3230000
GKP0595,Betiahata,Residential Plot,1123,25,16.4,0,3900000
GKP0596,Khorabar,Residential Plot,696,10,19.3,0,1290000
GKP0597,Sahjanwa,Residential Plot,775,20,6.9,0,1170000
GKP0598,Golghar,House,1058,30,15.3,28,5430000
GKP0599,Khorabar,Agricultural Land,29302,60,16.5,0,27370000
GKP0600,Rustampur,Commercial Property,1334,30,5.7,13,5910000
GKP0601,Golghar,Commercial Property,2475,30,14.5,19,20150000
GKP0602,Gida,Residential Plot,1790,25,17.5,0,3110000
GKP0603,Taramandal,House,3204,30,13.3,7,13140000
GKP0604,Rustampur,Residential Plot,931,30,8.9,0,2450000
GKP0605,Khorabar,Commercial Property,2327,15,16.9,10,7740000
GKP0606,Sahjanwa,House,2881,30,10.6,6,5990000
GKP0607,Mohaddipur,Residential Plot,2911,20,9.7,0,9650000
GKP0608,Medical College Road,Residential Plot,3466,25,20.5,0,7790000
GKP0609,Padri Bazar,House,2751,10,6.2,0,7580000
GKP0610,Naushad,Residential Plot,1554,12,12.1,0,2100000
GKP0611,Sahjanwa,Residential Plot,1456,10,12.5,0,1880000
GKP0612,Gida,Residential Plot,3013,18,20.8,0,4430000
GKP0613,Taramandal,Residential Plot,1452,12,21.6,0,3950000
GKP0614,Betiahata,Agricultural Land,19478,30,21.5,0,25510000
GKP0615,Medical College Road,House,2557,12,20.6,13,7110000
GKP0616,Kunraghat,Agricultural Land,16019,18,14.6,0,15310000
GKP0617,Golghar,Agricultural Land,4555,18,15.8,0,7370000
GKP0618,Golghar,House,1203,12,4.3,20,6910000
GKP0619,Sahjanwa,Commercial Property,4424,15,22.0,0,8680000
GKP0620,Mohaddipur,Residential Plot,1131,30,2.3,0,4830000
GKP0621,Rustampur,House,2957,18,15.6,14,9070000
GKP0622,Golghar,House,1385,40,15.0,22,9030000
GKP0623,Padri Bazar,Residential Plot,2015,60,1.2,0,6670000
GKP0624,Rustampur,Residential Plot,1175,40,4.5,0,3350000
GKP0625,Padri Bazar,Residential Plot,2440,20,21.1,0,5060000
GKP0626,Padri Bazar,Residential Plot,1012,30,4.1,0,2650000
GKP0627,Padri Bazar,Residential Plot,2879,30,1.2,0,6600000
GKP0628,Rapti Nagar,Agricultural Land,6955,40,21.4,0,7130000
GKP0629,Padri Bazar,Residential Plot,3206,60,7.7,0,8530000
GKP0630,Golghar,House,3976,15,14.7,5,23130000
GKP0631,Gida,Agricultural Land,28243,20,18.2,0,18790000
GKP0632,Mohaddipur,Commercial Property,3637,40,13.9,15,22110000
GKP0633,Padri Bazar,House,1028,10,6.1,5,2680000
GKP0634,Transport Nagar,Residential Plot,3015,12,17.6,0,6700000
GKP0635,Betiahata,Residential Plot,4621,20,12.8,0,17140000
GKP0636,Chargawan,Residential Plot,3483,40,3.1,0,7920000
GKP0637,Transport Nagar,House,2242,15,2.8,7,7670000
GKP0638,Padri Bazar,House,2463,15,16.8,3,6310000
GKP0639,Medical College Road,Agricultural Land,16190,30,15.7,0,15970000
GKP0640,Naushad,Agricultural Land,22142,15,7.8,0,12560000
GKP0641,Medical College Road,Residential Plot,2142,30,11.0,0,6230000
GKP0642,Rapti Nagar,Residential Plot,1982,18,19.1,0,5290000
GKP0643,Khorabar,Residential Plot,2664,40,2.4,0,6200000
GKP0644,Kunraghat,Agricultural Land,9213,12,14.0,0,6850000
GKP0645,Mohaddipur,Residential Plot,3139,25,9.0,0,13170000
GKP0646,Mohaddipur,House,3224,30,21.5,12,14750000
GKP0647,Khorabar,Agricultural Land,20348,40,19.6,0,14840000
GKP0648,Rustampur,House,784,25,11.4,24,2410000
GKP0649,Betiahata,Residential Plot,4313,12,6.7,0,16710000
GKP0650,Chargawan,Residential Plot,2544,12,8.9,0,4200000
GKP0651,Naushad,Residential Plot,3466,12,16.4,0,5060000
GKP0652,Khorabar,Agricultural Land,3438,10,16.2,0,2600000
GKP0653,Chargawan,Agricultural Land,20761,18,13.8,0,13270000
GKP0654,Padri Bazar,Residential Plot,1776,15,14.8,0,3680000
GKP0655,Medical College Road,Commercial Property,2836,60,10.5,8,16850000
GKP0656,Rustampur,Agricultural Land,13547,40,20.2,0,14600000
GKP0657,Kunraghat,House,3884,10,2.8,27,10510000
GKP0658,Betiahata,Residential Plot,1734,60,5.1,0,10050000
GKP0659,Transport Nagar,Commercial Property,1665,10,8.0,16,6080000
GKP0660,Mohaddipur,Residential Plot,703,60,7.3,0,3220000
GKP0661,Kunraghat,House,3047,20,14.3,0,9340000
GKP0662,Padri Bazar,Residential Plot,3563,60,4.4,0,9870000
GKP0663,Khorabar,Residential Plot,4080,20,5.0,0,7920000
GKP0664,Khorabar,Residential Plot,2984,25,20.8,0,5540000
GKP0665,Mohaddipur,Agricultural Land,17574,10,1.9,0,26320000
GKP0666,Gida,Commercial Property,3877,10,17.3,14,9840000
GKP0667,Taramandal,Residential Plot,1934,20,2.3,0,6810000
GKP0668,Transport Nagar,House,811,10,19.0,22,1820000
GKP0669,Mohaddipur,Residential Plot,1326,25,8.4,0,4620000
GKP0670,Kunraghat,Residential Plot,1419,10,2.2,0,3830000
GKP0671,Medical College Road,Residential Plot,4016,60,21.3,0,11600000
GKP0672,Taramandal,House,3059,30,3.0,2,14130000
GKP0673,Golghar,House,952,60,15.1,9,8370000
GKP0674,Golghar,House,3950,10,19.2,10,22440000
GKP0675,Mohaddipur,House,714,60,6.4,19,4300000
GKP0676,Chargawan,Residential Plot,1364,60,16.3,0,3160000
GKP0677,Medical College Road,Residential Plot,3132,15,5.1,0,7460000
GKP0678,Rustampur,House,2526,25,9.1,6,9200000
GKP0679,Golghar,Residential Plot,1014,25,17.0,0,5420000
GKP0680,Naushad,Agricultural Land,23023,25,20.5,0,13160000
GKP0681,Medical College Road,Residential Plot,615,12,3.0,0,1620000
GKP0682,Medical College Road,Commercial Property,4862,60,4.1,20,28690000
GKP0683,Golghar,Residential Plot,3288,10,6.9,0,15500000
GKP0684,Chargawan,Commercial Property,1589,30,15.6,0,4610000
GKP0685,Padri Bazar,House,3366,12,14.6,14,8390000
GKP0686,Rapti Nagar,Residential Plot,2533,12,3.1,0,6810000
GKP0687,Gida,Residential Plot,2573,60,7.0,0,6060000
GKP0688,Mohaddipur,Agricultural Land,11696,60,20.3,0,18320000
GKP0689,Golghar,Residential Plot,4481,25,8.3,0,25200000
GKP0690,Betiahata,House,3602,60,12.6,3,23560000
GKP0691,Transport Nagar,Residential Plot,2751,15,3.1,0,6140000
GKP0692,Chargawan,House,1343,10,15.6,1,2730000
GKP0693,Medical College Road,House,3473,10,5.0,10,13240000
GKP0694,Rustampur,Agricultural Land,11775,12,21.2,0,9880000
GKP0695,Rapti Nagar,Commercial Property,3316,30,18.2,14,15160000
GKP0696,Sahjanwa,Residential Plot,2947,60,15.0,0,4700000
GKP0697,Medical College Road,Residential Plot,1051,10,5.0,0,2920000
GKP0698,Taramandal,House,2774,10,10.1,1,11320000
GKP0699,Betiahata,House,3078,20,11.2,16,16390000
GKP0700,Kunraghat,House,3196,20,1.6,26,10420000
GKP0701,Gida,Residential Plot,2004,40,16.1,0,3550000
GKP0702,Transport Nagar,Residential Plot,1506,10,13.6,0,2890000
GKP0703,Medical College Road,Agricultural Land,28202,20,13.9,0,26350000
GKP0704,Golghar,Residential Plot,1446,30,3.1,0,7400000
GKP0705,Padri Bazar,Residential Plot,1969,60,15.9,0,5510000
GKP0706,Sahjanwa,House,1361,60,18.8,26,2710000
GKP0707,Sahjanwa,Residential Plot,896,60,6.8,0,1530000
GKP0708,Medical College Road,Residential Plot,1668,12,12.0,0,4610000
GKP0709,Kunraghat,Residential Plot,4572,20,8.1,0,11980000
GKP0710,Kunraghat,Residential Plot,1293,30,15.1,0,3410000
GKP0711,Gida,House,3613,15,1.7,23,7270000
GKP0712,Kunraghat,Residential Plot,702,15,11.4,0,1540000
GKP0713,Golghar,House,2550,30,15.0,17,15660000
GKP0714,Rapti Nagar,House,1842,25,7.6,26,6170000
GKP0715,Golghar,House,2991,12,10.3,12,20470000
GKP0716,Gida,Commercial Property,470,12,11.7,0,1430000
GKP0717,Betiahata,Agricultural Land,3273,20,21.0,0,4080000
GKP0718,Sahjanwa,Commercial Property,2568,25,5.3,23,6110000
GKP0719,Golghar,House,3799,20,6.6,29,19790000
GKP0720,Sahjanwa,House,1494,25,16.5,30,2550000
GKP0721,Taramandal,Residential Plot,3811,10,15.5,0,11060000
GKP0722,Chargawan,Commercial Property,623,20,20.1,11,1750000
GKP0723,Chargawan,House,3382,15,11.6,11,6600000
GKP0724,Padri Bazar,Residential Plot,3499,20,2.1,0,7490000
GKP0725,Gida,Residential Plot,2514,25,17.5,0,3970000
GKP0726,Taramandal,Commercial Property,4297,18,14.8,12,19730000
GKP0727,Kunraghat,House,1208,10,19.4,21,3390000
GKP0728,Sahjanwa,House,3412,25,21.7,5,5970000
GKP0729,Padri Bazar,House,950,15,7.8,30,1900000
GKP0730,Golghar,Residential Plot,3224,30,1.8,0,17900000
GKP0731,Rapti Nagar,Agricultural Land,7012,18,15.3,0,7630000
GKP0732,Rustampur,Commercial Property,1842,30,12.7,0,7640000
GKP0733,Taramandal,Agricultural Land,3947,25,20.7,0,4740000
GKP0734,Padri Bazar,Residential Plot,947,40,10.5,0,2450000
GKP0735,Kunraghat,Residential Plot,629,30,17.7,0,1560000
GKP0736,Padri Bazar,Residential Plot,2726,15,21.3,0,4900000
GKP0737,Gida,House,2175,18,12.6,14,4820000
GKP0738,Chargawan,Agricultural Land,25322,12,12.9,0,15320000
GKP0739,Naushad,Commercial Property,681,60,15.7,21,2190000
GKP0740,Golghar,House,1708,40,11.5,23,11690000
GKP0741,Rustampur,Residential Plot,4811,40,13.8,0,12160000
GKP0742,Golghar,Commercial Property,4137,30,9.2,19,36970000
GKP0743,Naushad,House,2066,10,14.5,11,4320000
GKP0744,Taramandal,House,2572,40,15.3,13,10660000
GKP0745,Gida,Commercial Property,4808,60,21.4,3,19910000
GKP0746,Naushad,House,3193,12,12.4,26,5970000
GKP0747,Gida,Commercial Property,2748,10,9.0,21,7270000
GKP0748,Transport Nagar,Residential Plot,2502,60,18.6,0,6930000
GKP0749,Rapti Nagar,Residential Plot,4908,10,10.9,0,12360000
GKP0750,Betiahata,Commercial Property,3614,15,13.4,15,18750000
GKP0751,Rustampur,Agricultural Land,11197,30,19.6,0,9760000
GKP0752,Golghar,Residential Plot,3475,20,11.1,0,19170000
GKP0753,Rapti Nagar,Commercial Property,838,40,12.6,11,4290000
GKP0754,Rapti Nagar,Residential Plot,2885,10,11.5,0,8660000
GKP0755,Padri Bazar,House,2113,20,11.6,15,6140000
GKP0756,Mohaddipur,Residential Plot,1890,60,18.1,0,9080000
GKP0757,Taramandal,Commercial Property,2570,15,17.0,5,11220000
GKP0758,Rustampur,House,1713,15,9.1,8,6040000
GKP0759,Sahjanwa,Commercial Property,1506,10,17.1,4,3640000
GKP0760,Betiahata,Commercial Property,2188,60,17.8,10,16460000
GKP0761,Medical College Road,Commercial Property,2576,15,17.9,10,9810000
GKP0762,Rustampur,Residential Plot,4147,15,22.0,0,9670000
GKP0763,Taramandal,Agricultural Land,11397,60,10.2,0,16420000
GKP0764,Rustampur,House,1129,12,20.6,30,2380000
GKP0765,Gida,Residential Plot,1230,25,5.7,0,2500000
GKP0766,Rapti Nagar,Residential Plot,2877,25,19.7,0,8050000
GKP0767,Golghar,Residential Plot,3656,18,7.7,0,20300000
GKP0768,Rapti Nagar,House,1510,30,18.5,8,6100000
GKP0769,Sahjanwa,House,3260,12,14.5,27,4550000
GKP0770,Mohaddipur,Residential Plot,3917,60,13.6,0,17680000
GKP0771,Gida,Residential Plot,3192,25,5.5,0,6720000
GKP0772,Chargawan,House,2830,30,18.1,8,6110000
GKP0773,Taramandal,Residential Plot,3556,30,8.4,0,11570000
GKP0774,Khorabar,Commercial Property,1461,15,5.4,19,4280000
GKP0775,Golghar,Residential Plot,1494,40,4.3,0,8820000
GKP0776,Medical College Road,Agricultural Land,17462,10,5.5,0,19500000
GKP0777,Gida,House,3637,15,9.8,12,7770000
GKP0778,Kunraghat,Residential Plot,1165,10,8.6,0,2780000
GKP0779,Golghar,Residential Plot,762,18,17.6,0,3800000
GKP0780,Kunraghat,House,1763,15,2.1,9,6160000
GKP0781,Taramandal,House,1264,20,4.9,22,4360000
GKP0782,Golghar,Agricultural Land,12396,25,9.0,0,21830000
GKP0783,Betiahata,House,2758,40,16.8,2,16050000
GKP0784,Golghar,Residential Plot,3208,10,1.5,0,16200000
GKP0785,Padri Bazar,Residential Plot,4487,18,15.4,0,7930000
GKP0786,Golghar,Residential Plot,3508,15,15.1,0,15800000
GKP0787,Naushad,Commercial Property,3751,30,21.8,4,10900000
GKP0788,Naushad,Commercial Property,4306,30,17.8,9,12970000
GKP0789,Golghar,House,2268,20,18.9,17,12830000
GKP0790,Mohaddipur,Commercial Property,4153,60,6.2,22,31780000
GKP0791,Medical College Road,Agricultural Land,23437,12,13.0,0,22770000
GKP0792,Naushad,Residential Plot,3812,60,6.4,0,8810000
GKP0793,Transport Nagar,House,3326,12,5.0,20,10130000
GKP0794,Chargawan,Residential Plot,2847,12,6.3,0,5310000
GKP0795,Mohaddipur,Residential Plot,3152,12,2.8,0,11740000
GKP0796,Padri Bazar,Commercial Property,2418,20,8.2,16,7650000
GKP0797,Khorabar,Agricultural Land,10510,15,21.8,0,6640000
GKP0798,Rapti Nagar,Residential Plot,1980,15,2.2,0,6240000
GKP0799,Chargawan,Residential Plot,2855,15,14.2,0,5040000
GKP0800,Betiahata,Agricultural Land,13819,30,18.2,0,21510000
GKP0801,Kunraghat,Commercial Property,2609,10,16.9,16,9830000
GKP0802,Betiahata,Commercial Property,699,60,5.7,7,6200000
GKP0803,Mohaddipur,Agricultural Land,28053,20,8.3,0,41200000
GKP0804,Medical College Road,Residential Plot,3621,15,1.5,0,9180000
GKP0805,Medical College Road,House,2556,25,17.3,16,8250000
GKP0806,Taramandal,Residential Plot,1803,15,7.6,0,5000000
GKP0807,Rustampur,Residential Plot,821,12,15.0,0,1940000
GKP0808,Betiahata,Commercial Property,4698,25,3.9,24,29040000
GKP0809,Rustampur,House,903,18,10.0,9,2820000
GKP0810,Rapti Nagar,Commercial Property,3524,30,14.2,16,16630000
GKP0811,Golghar,Commercial Property,446,20,6.7,9,3660000
GKP0812,Chargawan,House,3788,20,14.0,19,7580000
GKP0813,Golghar,Residential Plot,2669,10,15.4,0,10830000
GKP0814,Sahjanwa,Commercial Property,2351,18,14.5,7,5620000
GKP0815,Mohaddipur,House,839,60,16.4,29,4400000
GKP0816,Gida,Residential Plot,922,15,9.9,0,1530000
GKP0817,Transport Nagar,Residential Plot,2214,18,5.6,0,5580000
GKP0818,Betiahata,House,2918,18,10.9,21,11670000
GKP0819,Medical College Road,House,726,12,7.8,10,2580000
GKP0820,Transport Nagar,Residential Plot,1327,25,10.8,0,3040000
GKP0821,Chargawan,Residential Plot,1496,40,22.0,0,2610000
GKP0822,Medical College Road,Residential Plot,1284,60,1.4,0,4740000
GKP0823,Kunraghat,Agricultural Land,22372,20,10.7,0,22510000
GKP0824,Mohaddipur,Residential Plot,3144,60,18.8,0,15230000
GKP0825,Sahjanwa,Residential Plot,1721,40,11.8,0,2820000
GKP0826,Betiahata,Agricultural Land,28645,25,7.5,0,43140000
GKP0827,Naushad,Residential Plot,1187,18,18.0,0,1860000
GKP0828,Rapti Nagar,House,1045,20,18.1,11,4020000
GKP0829,Mohaddipur,House,2986,12,11.0,25,13060000
GKP0830,Gida,Residential Plot,3027,18,7.4,0,5570000
GKP0831,Naushad,House,2498,18,5.6,23,5350000
GKP0832,Rapti Nagar,Agricultural Land,12342,10,12.8,0,12740000
GKP0833,Rustampur,Commercial Property,765,10,12.2,3,3220000
GKP0834,Naushad,House,3021,25,6.5,1,7280000
